game_id,h5,a5
707019,6,1
707077,5,1
707078,2,3
706975,4,0
706825,4,2
707020,3,3
707027,5,6
707037,2,0
706863,3,2
706984,2,2
706882,4,6
706813,5,2
706934,1,3
707051,3,1
706855,1,0
706791,3,7
706846,0,6
706859,3,2
706907,0,0
706872,2,2
706820,2,4
706922,7,2
707028,3,3
707009,4,4
707003,0,9
706806,0,5
706942,10,3
706836,6,3
706978,2,7
706792,1,5
706993,9,2
707021,3,1
706958,2,1
706905,1,0
707040,0,1
706886,3,4
706801,5,2
706899,1,4
706950,5,8
706932,2,0
706877,4,1
706995,5,2
706835,2,3
706976,0,3
706914,6,0
706819,1,5
706963,1,2
707031,5,5
707022,3,0
706923,1,0
706889,4,0
707013,1,1
706988,5,19
707002,6,4
706941,2,3
706849,4,0
707050,6,1
706793,3,3
706845,1,1
706858,5,6
706817,0,2
706866,3,0
706906,0,0
706826,4,0
706800,9,1
706931,5,2
706948,0,3
706985,5,0
706939,3,2
706838,2,3
707049,0,3
706916,0,1
706897,2,0
706964,1,3
706955,4,0
707018,0,4
706867,8,5
707039,4,0
706924,0,1
706933,4,2
707012,2,3
706847,2,2
706807,8,5
706971,4,3
706848,2,0
706890,6,0
706994,7,7
706904,4,1
706949,4,3
706979,1,1
706879,3,1
707001,1,6
706940,4,3
706972,1,3
706912,1,6
707030,7,4
706789,4,6
706896,7,1
706829,5,2
706818,8,2
706860,1,1
707038,3,1
706870,3,3
706799,3,3
707011,1,10
706839,2,6
706944,2,6
706880,4,3
707048,2,4
706954,2,1
706930,1,3
706832,3,0
707017,5,3
706959,4,6
707036,4,4
706824,1,9
706888,1,3
706895,3,2
706980,4,0
706842,0,0
707000,3,7
706852,2,2
706974,6,1
706915,5,4
707029,9,5
706947,3,3
707026,4,2
706903,1,0
706816,0,0
706925,3,1
706887,7,4
706796,2,7
706894,5,1
706992,4,3
707007,4,4
706876,0,5
706808,4,0
706926,0,9
707117,3,2
706851,5,1
706938,0,3
706822,1,2
706869,3,0
707032,3,0
706788,0,4
706960,1,4
706945,19,5
706999,2,0
707045,0,2
706935,2,1
706830,6,2
706913,4,1
706989,2,1
706952,3,0
706861,3,0
706815,4,2
707065,5,2
707005,3,2
706840,9,0
706809,1,3
706983,7,3
706973,2,7
706833,1,6
706918,0,9
706929,0,4
706786,0,11
707025,3,3
706902,9,2
706868,0,7
707014,9,6
706878,4,3
707006,6,3
706943,3,6
706997,1,0
706968,2,1
706850,3,0
706893,0,3
706881,1,5
706981,1,4
706856,1,0
707016,3,3
707035,1,5
706864,5,0
706795,5,0
706871,2,5
706841,5,2
706802,5,1
707047,4,0
706909,3,10
706892,3,2
706917,7,4
706991,1,7
706831,2,1
706821,5,2
706814,9,1
706853,1,2
707024,3,2
706901,8,3
706956,1,0
706961,1,1
706837,4,1
706998,2,7
707046,5,0
706936,6,4
706910,5,0
706982,5,0
706844,3,2
706970,1,0
707015,0,1
706811,0,3
707004,2,2
706927,2,1
706875,3,7
706990,5,3
706804,3,1
707042,7,1
706828,1,2
706785,2,5
706854,1,5
706900,6,0
706865,3,1
707034,1,5
706797,5,5
706891,7,4
706873,4,0
706946,3,3
706996,4,5
707041,2,8
706911,1,3
706977,0,2
706937,5,1
706951,2,0
707023,2,5
706823,3,1
706957,1,0
706898,1,0
706812,1,2
706884,1,2
706986,8,6
706874,0,4
706803,3,7
707008,13,5
706827,0,2
706928,4,6
707043,3,1
706969,5,2
706919,0,2
706787,13,0
706862,3,1
707010,1,6
707033,1,0
706883,1,3
706790,2,1
706987,7,4
706805,8,3
706843,4,3
706908,4,0
707044,1,1
706834,3,7
706966,10,3
706921,3,0
706810,1,8
663178,3,1
662766,1,1
662021,4,0
662571,0,2
661577,1,3
661042,0,1
663418,0,2
661333,3,3
662888,0,3
661131,5,1
661918,1,0
662933,2,5
661750,1,2
662124,3,0
662559,3,4
661782,7,7
661576,7,1
661041,2,3
663417,0,0
661917,5,2
662864,0,2
661756,1,2
662020,5,2
663205,7,0
661803,3,3
661130,2,0
662123,1,1
661332,2,2
662765,0,0
662588,0,4
661575,2,0
662931,1,1
663404,1,2
661040,1,0
661129,0,0
661916,4,0
662887,1,5
662570,1,2
661573,3,6
661802,6,9
662755,2,13
661738,8,4
662019,3,7
663204,3,1
662934,7,4
662122,3,2
661039,1,2
663395,0,8
661316,3,3
662754,4,4
663403,2,0
662042,3,1
662863,1,1
661915,0,9
661637,0,3
661315,0,2
661572,1,5
661754,4,0
661036,4,1
662116,1,2
662862,3,0
663088,0,4
661538,1,1
662318,0,1
661944,6,3
661636,0,1
661314,3,0
663295,4,4
661038,1,1
661571,11,1
661753,1,1
662017,6,3
661995,1,3
663411,0,1
662104,11,2
661570,0,2
663117,1,6
662317,6,2
661643,1,4
662885,2,7
661734,0,3
663341,1,0
662115,2,1
661943,1,3
661313,3,3
663433,0,2
661530,4,3
661942,1,6
661529,1,2
661292,4,0
662307,6,4
661418,4,1
661312,2,0
661993,10,2
662702,2,2
662237,5,0
662950,2,3
662627,3,0
662485,5,0
663265,1,6
662291,2,5
661417,6,0
663357,0,1
661792,2,0
663136,0,1
661528,3,0
662014,6,7
662701,1,0
661267,0,8
662960,6,4
662236,2,2
662192,4,0
662620,3,0
662626,0,0
661527,2,1
661759,2,5
662235,1,4
662798,1,1
663238,4,0
663076,2,2
661416,2,8
662290,3,2
661981,2,3
663266,2,4
661335,0,1
662966,8,1
662206,0,3
662619,0,0
